onset,duration,trial_type
10.1605967,10,CoachTaylor
18.190957161,10,LylaGarrity
26.221317192,10,JulieTaylor
33.252048014,10,LylaGarrity
40.282787781,10,LandryClarke
51.311997544,10,BuddyGarrity
57.343152722,10,TamiTaylor
63.37425517,10,BuddyGarrity
69.405359036,10,SmashWilliams
76.436088332,10,SmashWilliams
83.466820048,10,GrandmaSaracen
91.497193631,10,BillyRiggins
101.526809594,10,MattSaracen
108.557544453,10,TamiTaylor
114.588578367,10,TamiTaylor
120.61974369,10,GrandmaSaracen
126.650846005,10,BillyRiggins
132.681946075,10,LylaGarrity
142.71156909,10,LandryClarke
156.739712911,10,BuddyGarrity
162.770814649,10,JasonStreet
173.800055801,10,TimRiggins
180.830786482,10,CoachTaylor
186.86185978,10,JasonStreet
192.892958472,10,CoachTaylor
202.922615368,10,JasonStreet
208.95371632,10,GrandmaSaracen
220.982600503,10,MattSaracen
234.011058731,10,BillyRiggins
240.042214664,10,JasonStreet
249.072207216,10,TimRiggins
256.102931267,10,BillyRiggins
263.133663523,10,JulieTaylor
272.163655973,10,JulieTaylor
281.193644014,10,JasonStreet
289.223956762,10,TyraCollette
297.254368242,10,GrandmaSaracen
304.285099479,10,MattSaracen
313.315087766,10,BuddyGarrity
