Stim,Onset,Duration
inv_onset,3.0,4
mult_onset,11.0,4
pred_onset,17.0,8
ret_onset,30.0,6
inv_onset,39.0,4
mult_onset,45.0,4
pred_onset,52.0,8
ret_onset,63.0,6
inv_onset,72.0,4
mult_onset,78.0,4
pred_onset,85.0,8
ret_onset,95.0,6
inv_onset,104.0,4
mult_onset,110.0,4
pred_onset,117.0,8
ret_onset,127.0,6
inv_onset,136.0,4
mult_onset,148.0,4
pred_onset,156.0,8
ret_onset,166.0,6
inv_onset,175.0,4
mult_onset,182.0,4
pred_onset,191.0,8
ret_onset,204.0,6
inv_onset,213.0,4
mult_onset,220.0,4
pred_onset,226.0,8
ret_onset,236.0,6
inv_onset,247.0,4
mult_onset,253.0,4
pred_onset,260.0,8
ret_onset,271.0,6
inv_onset,281.0,4
mult_onset,287.0,4
pred_onset,293.0,8
ret_onset,304.0,6
inv_onset,312.0,4
mult_onset,318.0,4
pred_onset,324.0,8
ret_onset,335.0,6
inv_onset,344.0,4
mult_onset,352.0,4
pred_onset,358.0,8
ret_onset,370.0,6
inv_onset,378.0,4
mult_onset,384.0,4
pred_onset,392.0,8
ret_onset,403.0,6
inv_onset,413.0,4
mult_onset,420.0,4
pred_onset,427.0,8
ret_onset,440.0,6
inv_onset,449.0,4
mult_onset,456.0,4
pred_onset,463.0,8
ret_onset,475.0,6
inv_onset,486.0,4
mult_onset,492.0,4
pred_onset,498.0,8
ret_onset,509.0,6
inv_onset,518.0,4
mult_onset,526.0,4
pred_onset,532.0,8
ret_onset,543.0,6
inv_onset,555.0,4
mult_onset,561.0,4
pred_onset,568.0,8
ret_onset,578.0,6
inv_onset,588.0,4
mult_onset,595.0,4
pred_onset,603.0,8
ret_onset,615.0,6
inv_onset,624.0,4
mult_onset,634.0,4
pred_onset,644.0,8
ret_onset,654.0,6
inv_onset,664.0,4
mult_onset,670.0,4
pred_onset,679.0,8
ret_onset,690.0,6
inv_onset,699.0,4
mult_onset,706.0,4
pred_onset,713.0,8
ret_onset,723.0,6
inv_onset,732.0,4
mult_onset,742.0,4
pred_onset,751.0,8
ret_onset,761.0,6
inv_onset,769.0,4
mult_onset,776.0,4
pred_onset,785.0,8
ret_onset,795.0,6
inv_onset,803.0,4
mult_onset,810.0,4
pred_onset,817.0,8
ret_onset,828.0,6
inv_onset,836.0,4
mult_onset,843.0,4
pred_onset,849.0,8
ret_onset,859.0,6
inv_onset,869.0,4
mult_onset,875.0,4
pred_onset,881.0,8
ret_onset,891.0,6
inv_onset,902.0,4
mult_onset,910.0,4
pred_onset,916.0,8
ret_onset,927.0,6
